1.86,6,Red
1.34,8,Red
1.8,5,Red
1.38,5,Red
1.69,6,Red
1.84,7,Red
1.27,6,Red
1.6,5,Red
1.86,8,Red
1.81,7,Red
1.92,5,Red
1.37,6,Red
1.49,6,Red
1.75,8,Red
1.68,5,Red
1.69,8,Red
1.9,8,Red
1.98,7,Red
1.26,6,Red
1.42,6,Red
1.94,5,Red
1.57,8,Red
1.94,7,Red
1.34,7,Red
1.98,5,Red
1.53,7,Red
1.77,8,Red
1.48,7,Red
1.71,8,Red
1.72,7,Red
1.61,5,Red
1.92,6,Red
1.51,7,Red
1.35,5,Red
1.68,6,Red
1.2,5,Red
1.53,8,Red
1.23,8,Red
1.62,7,Red
1.82,7,Red
1.76,6,Red
1.37,5,Red
1.58,8,Red
1.31,6,Red
1.29,8,Red
1.28,5,Red
1.65,8,Red
1.61,7,Red
1.89,6,Red
1.28,5,Red
1.5,7,Red
1.57,5,Red
1.37,7,Red
1.71,6,Red
1.68,7,Red
1.5,7,Red
1.55,5,Red
1.54,5,Red
1.93,8,Red
1.65,8,Red
1.92,8,Red
1.56,6,Red
1.91,5,Red
1.46,6,Red
1.25,5,Red
1.99,5,Red
1.36,6,Red
1.52,7,Red
1.55,6,Red
1.95,8,Red
1.98,8,Red
1.58,7,Red
1.26,7,Red
1.79,7,Red
1.22,8,Red
1.59,5,Red
1.31,6,Red
1.7,8,Red
1.32,7,Red
1.89,5,Red
1.36,5,Red
1.71,7,Red
1.24,6,Red
1.51,7,Red
1.98,6,Red
1.51,8,Red
1.87,8,Red
1.63,6,Red
1.2,8,Red
1.84,5,Red
1.66,5,Red
1.88,8,Red
1.42,8,Red
2.0,8,Red
2.0,7,Red
1.52,5,Red
1.24,6,Red
1.6,8,Red
1.34,7,Red
1.25,5,Red
2.76,12,Purple
3.08,12,Purple
2.5,9,Purple
2.65,10,Purple
2.49,9,Purple
2.43,10,Purple
2.87,12,Purple
2.72,10,Purple
2.39,9,Purple
2.51,11,Purple
2.96,12,Purple
2.8,11,Purple
3.04,9,Purple
3.08,10,Purple
3.04,9,Purple
3.03,9,Purple
3.18,12,Purple
2.52,11,Purple
2.47,12,Purple
2.55,10,Purple
3.13,10,Purple
3.09,11,Purple
2.83,11,Purple
2.78,11,Purple
2.85,12,Purple
3.02,9,Purple
2.78,12,Purple
2.62,10,Purple
2.62,9,Purple
2.7,12,Purple
2.97,11,Purple
2.35,12,Purple
2.47,10,Purple
2.86,9,Purple
3.06,10,Purple
2.75,11,Purple
2.82,12,Purple
2.8,11,Purple
2.66,12,Purple
2.35,11,Purple
2.83,10,Purple
3.15,12,Purple
2.4,12,Purple
3.09,11,Purple
2.44,9,Purple
2.88,11,Purple
2.76,11,Purple
2.5,9,Purple
3.12,11,Purple
3.18,10,Purple
2.6,10,Purple
3.17,11,Purple
3.01,11,Purple
2.64,12,Purple
3.19,12,Purple
2.34,11,Purple
2.31,9,Purple
2.49,10,Purple
2.33,9,Purple
2.46,12,Purple
2.73,11,Purple
2.45,10,Purple
2.61,10,Purple
3.15,11,Purple
2.76,12,Purple
2.48,9,Purple
2.9,11,Purple
2.77,9,Purple
3.11,11,Purple
3.1,9,Purple
2.35,11,Purple
2.76,12,Purple
3.0,11,Purple
2.86,11,Purple
3.18,11,Purple
2.52,9,Purple
2.79,9,Purple
2.96,12,Purple
2.57,11,Purple
2.68,10,Purple
2.7,9,Purple
2.97,9,Purple
2.76,10,Purple
2.74,9,Purple
3.06,9,Purple
2.59,11,Purple
3.17,11,Purple
2.63,12,Purple
2.53,11,Purple
3.03,10,Purple
2.59,10,Purple
3.11,9,Purple
2.55,10,Purple
2.81,10,Purple
2.9,11,Purple
3.09,11,Purple
2.92,9,Purple
2.36,9,Purple
2.58,10,Purple
2.87,10,Purple
